C3降低,C3降低、C3、肝病科、肾病、肝炎肝病、风湿疾病、免疫功能
神经性耳聋,神经性耳聋、头部、耳、聋、听力障碍、重听、耳鼻喉科、五官科、肾炎、耳鼻咽喉创伤、工业毒物中毒性周围神经病、听小骨创伤、小儿遗传性慢性进行性肾炎、神经性耳聋、中枢性耳聋、传导性耳聋、耳蜗性耳聋、林纳试验、韦伯试验、施瓦巴赫试验、主观听力检测技术、影像学
空腹血糖受损,空腹血糖受损、内分泌科、糖尿病
空腹血糖增高,空腹血糖增高、心血管内科、血液科、糖尿病、慢性胰腺炎、甲亢、心肌梗塞并发二尖瓣关闭不全、糖尿病、甲状腺功能、肝炎肝病、糖及其代谢物
空腹血糖降低,空腹血糖降低、心血管内科、血液科、甲减、继发性肾上腺功能不足、肝炎、肝炎后肝硬化、糖尿病、甲状腺功能、肝炎肝病、糖及其代谢物
窦性心动过缓,窦性心动过缓、胸部、心脏、窦性心律失常、心血管内科、头晕、晕厥、心绞痛、心动过缓、气短、疲劳、胸闷、头晕、心电图、动态心电图（Holter监测）
窦性心动过速,窦性心动过速、胸部、心脏、心动过速、心血管内科、心胸外科、肺水肿、心力衰竭、心源性休克、心率增快、心悸、心慌气短、胸闷、昏迷、心电图、动态心电图（Holter监测）、自主神经功能
窦性心律不齐,窦性心律不齐、胸部、心脏、窦性心律失常、迷走神经性心律失常、青年期心律失常、心血管内科、眩晕、晕厥、心悸、心电图、血液电解质、血液
窦房结内游走心律 ,窦房结内游走心律 、胸部、心脏、心血管内科、窦性心律不齐
筛窦炎,筛窦炎、头部、鼻、耳鼻喉科、鼻出血、硬脑膜下血肿、脑膜炎、硬脑膜下脓肿、脑脓肿、眼球突出、鼻溢液、鼻塞及反射性头痛、神经痛、头晕冠状面扫描、试验穿刺
类风湿性关节炎,类风湿性关节炎、骨、关节、类风湿关节炎、类风湿、类风湿病、风湿免疫科、爪状趾、晨僵、关节疼痛、关节肿胀、皮下结节
精索静脉曲张,精索静脉曲张、男性生殖、睾丸、静脉曲张、男科、泌尿外科、精索增粗肿胀、输精管变粗、阴囊肿大、精液分析、多普勒超声、精索内静脉造影、对继发性精索静脉曲张
糖化血红蛋白增高,糖化血红蛋白增高、HbA1c、内分泌科、巨人症、肢端肥大症、糖尿病、蛋白质
糖化血红蛋白降低,糖化血红蛋白降低、HbA1c、内分泌科、生长激素缺乏症、营养不良、小儿生长激素缺乏症、糖尿病、蛋白质
糖尿病,糖尿病、腹部、胰腺、消渴、内分泌科、老年科、多尿、糖尿、消瘦、多饮、糖尿病皮肤病变、血糖、尿糖、尿酮体、糖基化血红蛋白（HbA1c）、糖化血清蛋白、血清胰岛素和C肽水平、血脂、免疫指标、尿白蛋白排泄量、放免或酶联方法
糖尿病视网膜病变,糖尿病视网膜病变、头部、眼、眼科、视物模糊、视力下降、失明
红细胞体积分布宽度增高,红细胞体积分布宽度增高、心血管内科、血液科、营养科、血液病
红细胞体积分布宽度降低,红细胞体积分布宽度降低、心血管内科、血液科、营养科、血液病
红细胞分布宽度标准偏差增高,红细胞分布宽度标准偏差增高、红细胞分布宽度、RDW、心血管内科、血液科、血液病
红细胞分布宽度标准偏差降低,红细胞分布宽度标准偏差降低、红细胞分布宽度、RDW、心血管内科、血液科、血液病
红细胞压积增高,红细胞压积增高、红细胞比容、红细胞比积、HCT、PCV、血液科、红细胞增多症、挤压综合征、烧伤休克、过敏性休克、血液病、心脏病
红细胞压积降低,红细胞压积降低、红细胞比容、红细胞比积、HCT、PCV、血液科、新生儿惊厥、肠系膜上静脉血栓形成、肝损伤、贫血、血液病、心脏病
红细胞计数增高,红细胞计数增高、红细胞计数、RBC、血液科、筋膜炎、脑型疟疾、老年人急性淋巴细胞白血病、高原红细胞增多症、血液病
红细胞计数降低,红细胞计数降低、红细胞计数、RBC、血液科、混合型慢性高原病、小儿遗传性椭圆形红细胞增多症、特发性血小板减少性紫癜、低渗性脱水、血液病
纵隔增宽,纵隔增宽、胸部、纵隔、心胸外科、纵隔畸胎瘤、纵隔非霍奇金恶性淋巴肿瘤、纵隔霍奇金淋巴瘤、纵隔神经鞘源性肿瘤、纵隔非霍奇金淋巴瘤
结核抗体阳性,结核抗体阳性、结核杆菌抗原抗体检查、anti-TB、传染科、体检保健科
结膜下局限性结缔组织增生,结膜下局限性结缔组织增生、头部、眼、眼科、皮肤科
结膜囊肿,结膜囊肿、头部、眼、肿瘤科
结膜炎,结膜炎、头部、眼、眼科、春季卡他性结膜炎、流行性角结膜炎、包涵体性结膜炎、春季性结膜炎、Theodore上方角膜缘角结膜炎、春季结膜炎、巨乳头性结膜炎、变态反应性结膜炎、膜性结膜炎、慢性卡他性结膜炎、急性卡他性结膜炎、流行性出血性结膜炎、结膜乳头增生、结膜充血、流泪、红眼、眼睑浮肿、结膜刮片、结膜的细菌学
结膜翼状胬肉,结膜翼状胬肉、头部、眼、胬肉攀睛、眼科、散光、翼状胬肉、颅咽管瘤、发作性睡病、眼眶肌炎、新生儿泪囊炎、副鼻窦炎、脑血管瘤、脑囊虫病、垂体性侏儒症、眼眶脓肿、角膜表面三角形胬肉、视力障碍、眼球不能随意动、p53蛋白
结膜色素斑,结膜色素斑、头部、眼、眼科
结膜裂斑,结膜裂斑、头部、眼、眼科
绝经期子宫,绝经期子宫、女性生殖、子宫、性退化、更年期、经闭、乏力、绝经、尿急、绝经期尿失禁、绝经期盆腔脏器脱垂、绝经与心血管疾病、绝经、卵巢功能缺如综合征
缺血性视神经病变,缺血性视神经病变、头部、眼、眼科、视野缺损、神经纤维层出血、视神经萎缩、视盘水肿、血液、颞动脉活检、视野、眼底荧光素血管造影
羟丁酸脱氢酶增高,羟丁酸脱氢酶增高、血清α-HBDH、α-HBDH、心血管内科、肝炎肝病
耳前瘘管,耳前瘘管、头部、耳、先天性耳前瘘管、耳鼻喉科、结节、耳前淋巴结肿大
耳后淋巴结肿大,耳后淋巴结肿大、头部、耳、耳鼻喉科、内科、牙龈炎、中耳炎、腮腺炎、化脓性腮腺炎、扁桃体炎、气管软化试验
耳屏皮赘,耳屏皮赘、头部、耳、外科、皮肤科
耳廓软骨膜炎,耳廓软骨膜炎、头部、耳、耳廓假囊肿、耳鼻喉科、骨科、骨膜炎、耳痈、肾虚耳鸣、局部灼热、浆液脓性分泌物、耳廓痛、耳廓红肿、穿刺抽脓耳部摄片、血象、实验室
耳道湿疹,耳道湿疹、头部、耳、过敏性炎症性皮肤病、湿疮、皮肤科、疣、湿疹、皮肤病、外阴湿疹、慢性湿疹样变、瘙痒、干燥型湿疹、渗出型湿疹、肛门湿疹瘙痒、真菌、血常规、血清免疫球蛋白G亚类、皮损
耳鸣,耳鸣、头部、耳、耳鼻喉科、咽鼓管堵塞
耵聍栓塞,耵聍栓塞、头部、耳、耳鼻喉科、耳聋、听力减退、耳痛、耳屎多、耳道堵塞、外耳
肋膈角变钝,肋膈角变钝、胸部、膈肌、呼吸内科
肋骨畸形,肋骨畸形、骨、肋骨、骨科
肋骨肿瘤,肋骨肿瘤、骨、肋骨、肿瘤科、骨科、贫血、疼痛、血管杂音、肺部转移、放射学
肌酐增高,肌酐增高、肾内科、慢性肾炎、肾病综合征、糖尿病肾病、肾细胞癌、肾病
肌酐降低,肌酐降低、肾内科、慢性肾炎、肾病综合征、糖尿病肾病、肾细胞癌、肾病
肌酸激酶增高,肌酸激酶增高、血清肌酸磷酸激酶CK、血清CK、心胸外科、脑外科、骨科、体检保健科、急诊科、酒精中毒性肌病、小儿病毒性心肌炎、毒蕈中毒、新生儿缺氧缺血性脑病、心脏病
肌酸激酶降低,肌酸激酶降低、血清肌酸磷酸激酶CK、血清CK、心胸外科、脑外科、骨科、体检保健科、急诊科、甲亢、心脏病
肘关节痛,肘关节痛、上肢、肘、骨科、风湿科、动脉炎、咽峡炎、血管炎、炎性肠病性关节炎相关巩膜炎、韦格纳肉芽肿性巩膜炎、血清尿酸、维生素B1骨与关节MRI、梅毒血清试验、血清抗艾滋病抗体
肛乳头肥大,肛乳头肥大、臀部、肛周、肛乳头肥大症、肛隐窝炎、葡萄痔、肛肠外科、普外科、肛门瘙痒症、肛内轻微隐痛坠胀或不适感、肛腺分泌减少、脓血便、肛门坠胀、肛乳头肥大、肛门视诊、肛检、血常规
肛周湿疹,肛周湿疹、臀部、肛周、皮肤科、肛肠外科、蜂窝织炎、肛周皮肤潮红、肛周皮肤有湿疹、肛门湿疹瘙痒、肛周囊肿、肛门视诊、肛门拭子法、肛检
肛周脓肿,肛周脓肿、臀部、肛周、肛肠外科、肛瘘、肛周囊肿、肛旁脓肿、肛门病变、肛门剧痛、直肠肛门内胀痛不适、肛肠常规、血常规化验及磁共振
肛瘘,肛瘘、臀部、肛周、肛漏、肛肠外科、肛管后部组织感染、排便障碍、肛周皮肤潮红、肛门短时间阵发性钝痛、肛门括约肌松弛、直肠肛门内胀痛不适、直肠指诊、亚甲蓝染色法、探针、瘘管造影、肛管超声、MRI
肛窦炎,肛窦炎、臀部、肛周、肛隐窝炎、肛肠外科、肛乳头炎、肛内轻微隐痛坠胀或不适感、直肠肛门内胀痛不适、肛门短时间阵发性钝痛、肛门疼痛、排粪时肛门灼痛、肛门指诊、肛门镜
肛管息肉,肛管息肉、臀部、肛周、肛肠外科、肛管癌
肛裂,肛裂、臀部、肛周、肛门裂、肛肠外科、肛窦炎、葡萄痔、肛门病变、排粪时肛门灼痛、肛门短时间阵发性钝痛、肛周囊肿、便血、直肠指诊及内镜、组织病理学
肝内占位病变,肝内占位病变、腹部、肝、肝胆外科
肝内钙化灶,肝内钙化灶、腹部、肝、肝病、内科
肝功能异常,肝功能异常、腹部、肝、肝病、消化内科、内科、传染科、肝炎、小儿肝母细胞瘤、朗格汉斯细胞组织细胞增生症、对乙酰氨基酚中毒、蚕豆病、肝脏血清甲型肝炎抗原、脑磷脂胆固醇絮状试验、反映肝脏贮备功能的试验、絮状沉淀试验
肝包虫病,肝包虫病、腹部、肝、肝棘球蚴病、传染科、肝病、荨麻疹、消瘦、肝肿大、囊肿、脾肿大、上腹不适表现表现
肝囊肿,肝囊肿、腹部、肝、单纯性肝囊肿、肝病、肝胆外科、囊肿破裂、囊蒂扭转、囊内出血、脉氧合不足、腹部肿块、囊肿样改变、无胆汁粪便、肚子疼、B型超声扫描、核素扫描、选择性血管造影、腹腔镜
肝异常回声,肝异常回声、腹部、肝、肝胆外科
肝弥漫性病变,肝弥漫性病变、腹部、肝、肝胆科、肝纤维化
肝硬化,肝硬化、腹部、肝、肝病、消化内科、肝性脑病、腹膜炎、黄疸、肺炎、原发性肝癌、消化性溃疡、上消化道出血、休克、菌血症、败血症、肝肾综合征、原发性腹膜炎、疲乏、乏力、食欲不振、门脉高压、食欲异常、肝功能、病毒学指标、肝穿刺、甲胎蛋白(AFP)
肝脏增大,肝脏增大、腹部、肝、肝病、内科、急性黄疸型肝炎、原发性淋巴瘤、甲状腺功能亢进性心肌病、肝结核、蚕豆病
肝血管瘤,肝血管瘤、腹部、肝、肝胆外科、消化内科、肝血管瘤破裂、血小板减少症和低纤维蛋白原血症、肝脏肿大、肝囊肿、腹部肿块、肝肿大、食欲不振、血管畸形、脉氧合不足、造影超声、MRI
肥胖,肥胖、全身、脂肪过多症、脂肪过多、内科、内分泌失调、肢端肥大症性心肌病、痛风性心肌病、肥胖性心肌病、家族性混合型高脂血症、肝脏地塞米松抑制试验、尿17-羟-皮质类固醇、葡萄糖可的松耐量试验、血清载脂蛋白B
肩周炎,肩周炎、上肢、肩部、肩关节组织炎、冻结肩、肩凝症、肩痹、骨科、中医科、骨关节炎、撞击征、凝肩、肩关节活动受限、肩膀酸疼、持续性剧烈的肩痛、肩关节造影
肺内硬结灶,肺内硬结灶、胸部、肺、肿瘤科、传染病科
肺内钙化灶,肺内钙化灶、胸部、肺、呼吸内科
肺功能限制,肺功能限制、胸部、肺、呼吸内科
肺动脉增宽,肺动脉增宽、胸部、肺、呼吸内科、血管外科
肺动脉瓣反流,肺动脉瓣反流、胸部、肺、心胸外科、心内科
肺动脉高压,肺动脉高压、胸部、肺、肺动脉高血压、肺动脉高血压症、肺动脉高压症、肺动脉血压过高、心血管内科、慢性肺源性心脏病、劳力性呼吸困难、乏力、胸痛、声音嘶哑、下肢浮肿、实验室、心电图、胸片心动图、肺功能、肺通气、灌注扫描、多导睡眠监测
肺大泡,肺大泡、胸部、肺、肺大泡、呼吸内科、心胸外科、自发性气胸、创伤性窒息、自发性血胸、胸痛、胸闷、气短、呼吸困难、剧烈运动后哮喘、胸部X线、肺血管造影、放射性核素肺灌注扫描
肺气肿,肺气肿、胸部、肺、阻塞性肺气肿、终末细支气管远端部分慢性支气管炎、慢阻肺、呼吸内科、心胸外科、慢性肺源性心脏病、阻塞性肺气肿、胃溃疡、肺动脉高压、自发性气胸、心脏病、咳嗽、咳痰、呼吸困难、呼吸衰竭、肺源性呼吸困难、心电图、呼吸功能、血液气体分析、血液和痰液
肺炎,肺炎、胸部、肺、下呼吸道感染、肺部感染性疾病、呼吸内科、心力衰竭、发烧、咳嗽、咳痰、肺源性呼吸困难、肺淤血、血常规、痰培养、血和胸腔积液培养胸片
肺纤维灶,肺纤维灶、胸部、肺、呼吸内科、进行性呼吸困难或伴有刺激性干咳、胸部胀满心悸气急、颜面青紫
肺纹理增多,肺纹理增多、胸部、肺、呼吸内科、老年人慢性支气管炎、肺通气显像
肺结核,肺结核、胸部、肺、肺结核病、结核病、结核、肺痨、传染科、呼吸内科、气胸、肺气肿、慢性肺源性心脏病、肺曲菌病、结核性脓胸、支气管扩张、心脏病、胸膜炎、脓胸、结膜结核病、十二指肠结核、颅骨结核、低烧、食欲减退、乏力、咳嗽、便秘伴腹部包块、白细胞计数、痰结核菌、结核菌素试验、特异性抗体、胸腔积液、影像学
肺结节影,肺结节影、胸部、肺、呼吸科
肺肿块影,肺肿块影、胸部、肺、呼吸内科
肺转移瘤,肺转移瘤、胸部、肺、呼吸内科、肿瘤科、胸痛、肺部转移、咳嗽、呼吸困难、干咳
肺通气功能异常,肺通气功能异常、胸部、肺、呼吸内科
肺部罗音,肺部罗音、胸部、肺、呼吸内科
肺门影增大,肺门影增大、胸部、肺、呼吸内科
肺间质性改变,肺间质性改变、胸部、肺、呼吸内科
肺陈旧性病灶,肺陈旧性病灶、胸部、肺、呼吸内科
肾占位性病变,肾占位性病变、腰部、肾、泌尿外科
肾囊肿,肾囊肿、腰部、肾、单纯性肾囊肿、孤立性肾囊肿、肾内科、泌尿外科、高血压、腹部不适、上腹部疼痛、腰部钝痛、血尿伴蛋白尿、肾区钝痛
肾异位,肾异位、腰部、肾、单纯肾移位、异位肾、肾内科、泌尿外科、腹部肿块、脓尿、下腹痛、胃肠道症状
肾异常回声,肾异常回声、腰部、肾、肾脏病科、泌尿外科
肾弥漫性病变,肾弥漫性病变、腰部、肾、泌尿外科
肾柱肥大,肾柱肥大、腰部、肾、肾脏病科、泌尿外科
肾积水,肾积水、腰部、肾、肾内科、泌尿外科、高血压、肾积脓、肾结石、肾盂积水、腹部肿块、少尿、恶心与呕吐、肾部积水现象、尿常规、肾功能、影像学
肾结石,肾结石、腰部、肾、肾石病、肾石、肾石症、泌尿外科、肾内科、尿路梗阻、膀胱结石、贫血、尿路感染、肾盂肾炎、肾周围炎、肾积脓、肾炎、肾小球硬化、肾盏结石、腰部钝痛、突发性绞痛、尿隐血、排出结石、尿常规、尿结晶、血生化
肾脏损害,肾脏损害、腰部、肾、肾内科、肾功能出现进行性减退、尿毒症、肾脏缺血、缺氧、肾实质纤维化、蛋白尿
肾萎缩,肾萎缩、腰部、肾、肾内科、儿科、肾前性肾功能不全、慢性肾功能不全、恶心与呕吐、乏力、皮肤瘙痒、肾功能
肾钙乳症,肾钙乳症、腰部、肾、肾内科、泌尿外科、大疱（含脓性液体）、手足多汗、新生儿粟粒疹
肾钙化灶,肾钙化灶、腰部、肾、肾内科、泌尿外科、原发性甲状旁腺功能亢进症与肾病、小儿肾母细胞瘤、多发性骨髓瘤病肾病、小儿远端肾小管酸中毒、小儿蓝尿布综合征、环磷酸鸟苷、尿去氢异雄酮、肾血管造影、积液溶菌酶、浆细胞
肾错构瘤,肾错构瘤、腰部、肾、肾血管肌脂肪瘤、肾血管平滑肌脂肪瘤、泌尿外科、肿瘤科、肾盂肾炎、大脑发育障碍、胃肠道症状、下腰部疼痛、智力减低、实验室、影像学
肿瘤特异性生长因子增高,肿瘤特异性生长因子增高、肿瘤科、肿瘤、临床化学
胃下垂,胃下垂、腹部、胃、低位胃、胃缓、消化内科、头昏、头痛、失眠、心悸、乏力、忧郁症、腹胀、肚子疼、压痛、空腹时腹部有振水声者、恶心、可见瘦长体型、胃肠钡餐造影可见、饮水超声波
胃泌素增高,胃泌素增高、腹部、胃、消化内科、胃肠病、激素
胃泌素降低,胃泌素降低、腹部、胃、消化内科、胃肠病、激素
胃炎,胃炎、腹部、胃、胃肠感染、肠胃炎、消化内科、胃出血、胃溃疡、胃癌前期、食欲不振、体重减轻、疲乏、皖腹痞闷、腹胀、胃镜、胃生化钡餐造影
胃粘膜层毛糙,胃粘膜层毛糙、腹部、胃、消化内科、肠胃科
胃蛋白酶原Ⅰ增高,胃蛋白酶原Ⅰ增高、腹部、胃、消化内科、内科、胃肠病
胃蛋白酶原Ⅰ降低,胃蛋白酶原Ⅰ降低、腹部、胃、消化内科、内科、胃肠病
胃蛋白酶原Ⅱ增高,胃蛋白酶原Ⅱ增高、腹部、胃、消化内科、内科、胃肠病
胃蛋白酶原Ⅱ降低,胃蛋白酶原Ⅱ降低、腹部、胃、消化内科、内科、胃肠病
胃蛋白酶原比值增高,胃蛋白酶原比值增高、腹部、胃、消化内科、内科、胃肠病
胃蛋白酶原比值降低,胃蛋白酶原比值降低、腹部、胃、消化内科、内科、胃肠病
胆囊占位性病变,胆囊占位性病变、腹部、胆、肝胆外科
胆囊增大,胆囊增大、腹部、胆、肝胆内科、原发性胆汁性肝硬化、胆源性慢性胰腺炎、陶瓷样胆囊、胆囊息肉、胆石性肠绞塞综合征
胆囊壁粗糙 ,胆囊壁粗糙 、腹部、胆、肝胆内科
胆囊息肉,胆囊息肉、腹部、胆、胆囊息肉样病变、胆囊隆起性病变、肝胆外科、胆囊癌、右上腹痛、恶心与呕吐、食欲下降、息肉样损害、胆囊收缩功能不良、三维超声成像、内镜超声
胆囊炎,胆囊炎、腹部、胆、肝胆内科、老年人胆囊炎、妊娠合并急性胆囊炎、急性胆囊炎、小儿急性胆囊炎、慢性胆囊炎、结石性胆囊炎、急性结石性胆囊炎、右上腹压痛、恶心、发烧、腹肌紧张、右上腹痛、血常规、十二指肠引流
胆囊结石,胆囊结石、腹部、胆、结石性胆囊炎、胆结石、肝胆外科、尿道癌、人流后妇科病、女性尿道癌、宫颈糜烂、盆腔炎、附件炎、子宫内膜异位症、外阴炎、脂肪瘤、阴道炎、念珠菌病、血吸虫病、右上腹压痛、腹胀、右上腹痛、胆绞痛、胆囊收缩功能不良、静脉胆道造影、口服法胆道造影、T管造影
胆囊胆固醇沉着,胆囊胆固醇沉着、腹部、胆、胆囊胆固醇沉积症、胆囊胆固醇沉着病、外科、急性胆囊炎、胆囊结石、腹胀、肚子疼、血浆胆固醇水平高、右上腹压痛、右上腹痛、胆囊造影、内镜超声
胆囊腺肌症,胆囊腺肌症、腹部、胆、肝胆外科、躁狂、情绪低落
胆囊萎缩,胆囊萎缩、腹部、胆、消化内科
胆碱脂酶增高,胆碱脂酶增高、血液科、肝病科、体检保健科、肝炎肝病
胆碱脂酶降低,胆碱脂酶降低、血液科、肝病科、体检保健科、肝炎肝病
胆管扩张,胆管扩张、腹部、胆、先天性胆总管囊肿、胆总管囊肿、肝胆外科、肚子疼、腹部肿块、囊性肿块、右上腹痛、胀痛
胆管结石,胆管结石、腹部、胆、肝内胆管结石、肝胆外科、急性化脓性胆管炎、胆绞痛、突发性绞痛、阻塞性黄疸、右上腹持续性剧痛并向右肩部放射、肝区扣痛、胆道造影、内窥镜逆行胰胆管造影（ERCP）
胰岛素增高,胰岛素增高、IAB、抗胰岛素抗体、心血管内科、血液科、内科、糖尿病
胰岛素降低,胰岛素降低、IAB、抗胰岛素抗体、心血管内科、血液科、内科、糖尿病
胰腺占位性病变,胰腺占位性病变、腹部、胰腺、肝胆外科
胰腺囊肿,胰腺囊肿、腹部、胰腺、肿瘤科、普外科、胰腺脓肿、休克、黄疸、拉肚子、腹水、胃脘饱胀、反复高热、腹部肿块、上腹部肿块及腹胀、血、胃肠钡餐、B型超声、血管造影、胰腺扫描
胰腺异常回声,胰腺异常回声、腹部、胰腺、消化内科、胃肠外科
胸壁软组织损伤,胸壁软组织损伤、胸部、心胸外科、外科、吸气时胸口痛、胸部挫伤、右胸痛、呼吸异常、腹式反常呼吸
胸腔积液,胸腔积液、胸部、胸液、胸水、胸膜渗出、胸膜渗出液、心胸外科、外科、肺水肿、休克、贫血、咳嗽、干咳、胸痛、胸膜摩擦音、胸闷、肿瘤相关抗原、体位
胸膜钙化,胸膜钙化、胸部、心胸外科、呼吸内科
脂肪瘤,脂肪瘤、皮肤、肿瘤科、无痛性硬实结节、皮下沉积所出现的粟粒样结节、皮下指头至鸽蛋大的肿块结节、纤维性钙化结节、结节、组织病理、染色体
脂肪肝,脂肪肝、腹部、肝、脂肝、肝癖、肝痞、肝病科、消化内科、冠心病、肝硬化、贫血、弥散性血管内凝血、高血压、糖尿病、酒精中毒、阳痿、痛风、营养不良、溃疡性结肠炎、肥胖症、肝肿大、肝区痛、疲劳、消瘦、恶心与呕吐、血清酶学、血浆蛋白变化、辅助
脂肪肝前期,脂肪肝前期、腹部、肝、消化内科
脂蛋白aLP(a)增高,脂蛋白aLP(a)增高、血清ALP、ALP、心血管内科、肝炎肝病
脉压增宽,脉压增宽、心血管内科、主动脉硬化、升主动脉瘤
脉络膜萎缩,脉络膜萎缩、头部、眼、眼科、视力减退、视物变形、视野有中心暗点、检眼镜、眼底血管荧光造影、吲哚箐绿造影
脊柱侧弯,脊柱侧弯、骨、脊柱、骨科、移行脊椎、胸椎间盘突出症、胸椎椎管狭窄症、同型胱氨酸尿症、脊髓血管畸形、脊柱MRI
脑供血不足,脑供血不足、头部、颅脑、脑缺血、脑梗、脑外科
脑动脉血流速度不对称,脑动脉血流速度不对称、头部、颅脑、脑外科
脑动脉血流速度减慢,脑动脉血流速度减慢、头部、颅脑、脑外科
脑动脉血流速度增快,脑动脉血流速度增快、头部、颅脑、脑外科
脑梗塞,脑梗塞、头部、脑、脑栓塞、脑血栓形成、脑外科、神志不清、脑干梗塞、桥脑梗塞、偏瘫、感觉障碍
脑膜瘤,脑膜瘤、头部、脑、脑脊膜瘤、硬脑脊膜肉瘤、硬脑膜肉瘤、肿瘤科、脑外科、神经纤维瘤病、嗅觉障碍、眼底改变、视野缩小、眼球不能随意动、眼球移位、视力障碍、颅脑MRI、头颅平片
脑萎缩,脑萎缩、头部、脑、神经内科、脑外伤后综合征、脑外伤伴发的精神障碍、脑外伤所致精神障碍、闭合性脑外伤、开放性脑外伤、记忆力障碍、智能减退、影像学、脑血管造影
脾内回声异常,脾内回声异常、腹部、脾、普外科
脾厚,脾厚、腹部、脾、消化内科
脾囊肿,脾囊肿、腹部、脾、内科、消化内科、腹膜炎、腹胀、腹部肿块、肚子疼
脾脏增大,脾脏增大、腹部、脾、消化内科
脾血管瘤,脾血管瘤、腹部、脾、肿瘤科
脾钙化灶,脾钙化灶、腹部、脾、消化内科
腋下淋巴肿大,腋下淋巴肿大、淋巴、血液科、肿瘤科、赖特综合征性巩膜炎、肺弓形体病、肺血吸虫病、肺孢子丝菌病、恶性淋巴瘤
腭裂,腭裂、头部、口、口腔科、小儿言语和语言障碍、裂腭、颞下颌关节造影、视诊
腰椎病,腰椎病、骨、脊柱、腰椎病、骨科、外科、吞咽障碍、视力障碍、颈心综合征、胸部疼痛、下肢瘫痪、猝倒、不能直立、头痛、眩晕、视力模糊、记忆力下降、颈肩酸痛、食欲不振、反胃、呕吐、下肢无力、瘫痪、颈椎的试验、颈椎病的X线、脊椎病的肌电图、脊椎病的CT
腰腿痛,腰腿痛、下肢、腿、老年科、普外科、瘫痪、腰大肌脓肿、腰部钝痛、腰椎退化、腰部酸胀及无力、运动后全身酸痛、体层摄影、脊髓造影
腰臀比增高,腰臀比增高、腰部、腰部、WHR、保健科、中心性肥胖
腱鞘囊肿,腱鞘囊肿、骨、关节、骨科、中医科、肿胀、囊肿、压痛、肩关节外展试验、肩外展摆动试验
腱鞘炎,腱鞘炎、骨、关节、鼠标手、骨科、中医科、肱二头肌长头腱鞘炎、手指屈肌腱鞘炎、桡骨茎突部狭窄性腱鞘炎、化脓性腱鞘炎、肌腱炎和腱鞘炎、急性化脓性腱鞘炎、腱鞘变干、腱鞘厚化、疼痛、肌腱触诊
腹壁疝,腹壁疝、腹部、腹部、侧腹壁疝、斯皮格耳疝、斯皮格耳氏疝、腹壁外科、外科、疝区的疼痛或坠胀感、恶心与呕吐、压痛、上腹部疼痛
腹股沟淋巴结肿大,腹股沟淋巴结肿大、腹部、腹部、普外科
腹股沟疝,腹股沟疝、腹部、肠、腹股沟疝气、肛肠外科、胃肠外科、嵌顿性腹股沟斜疝、复发性腹股沟疝、腹股沟滑动疝、老人腹股沟斜疝、成人腹股沟斜疝、小儿腹股沟斜疝、腹股沟斜疝、腹股沟直疝、腹股沟疼痛、腹股沟区可复性肿块、疝区的疼痛或坠胀感、恶心与呕吐、腹胀、腹股沟疝
腹部包块,腹部包块、腹部、普外科
腹部压痛,腹部压痛、腹部、普外科、胃肠积液、阿米巴痢疾、伪膜性肠炎、小肠吸收不良综合征、缺血性结肠炎
腹部反跳痛,腹部反跳痛、腹部、胃肠外科、消化内科
膀胱占位性病变,膀胱占位性病变、盆腔、膀胱、泌尿外科
膀胱壁增厚,膀胱壁增厚、盆腔、膀胱、泌尿外科
膀胱壁小梁小房形成,膀胱壁小梁小房形成、盆腔、膀胱、泌尿外科
膀胱异常回声,膀胱异常回声、盆腔、膀胱、泌尿外科
膀胱憩室,膀胱憩室、盆腔、膀胱、泌尿外科、尿频、尿急、尿痛
膀胱结石,膀胱结石、盆腔、膀胱、泌尿外科、膀胱炎、排尿障碍、膀胱刺激症、脓尿、膀胱区摄X线可探及膀胱内结石声影
膈膨出,膈膨出、胸部、膈肌、腹脏突出症、膈突出、 心胸外科、心悸、头痛、呼吸异常、恶心与呕吐、昏迷
膝关节病,膝关节病、下肢、膝、膝痹、中医科、骨科、骨质增生、膝关节半月板损伤、膝关节脱位、膝关节疼痛、关节肿胀、膝关节肿大、间歇性跛行、关节疼痛、四肢的骨和关节平片、关节镜、髋关节弹响试验
色觉异常,色觉异常、头部、眼、眼科、多发性硬化伴发的葡萄膜炎、急性视网膜色素上皮炎、鸟枪弹样视网膜脉络膜病变、Leber遗传性视神经病变、色盲
藏毛疾病,藏毛疾病、皮肤、藏毛病、藏毛窦和藏毛囊肿、吉普车病、尾部藏毛窦、肛肠科、脓肿、疼痛、压痛
虹睫炎,虹睫炎、头部、眼、虹睫炎 前葡萄膜炎、眼科、白内障、青光眼、眼痛、畏光、流泪、视物模糊
虹膜异常,虹膜异常、头部、眼、眼科
蛛网膜囊肿,蛛网膜囊肿、头部、眼、眼科、蛛网膜腔内囊肿、腹部肿块、肚子疼、压痛
融合肾,融合肾、腰部、肾、两侧肾相融合、泌尿外科
血压偏低,血压偏低、低血压、心血内科、甲状腺功能减退性心肌病、低血压、苯丙胺中毒、难治性心力衰竭、颅咽管瘤
血吸虫病肝,血吸虫病肝、腹部、肝、传染科、急性弥漫性腹膜炎、肠梗阻、结肠癌、发烧、痢疾样大便、肝脾肿大、肝肿大、胸痛、血吸虫皮内试验、血吸虫胶乳凝集试验、血吸虫斑点酶联免疫吸附试验
